date,state,cases_pct,deaths_pct,people_fully_vaccinated_per_hundred,variants_total
2020-03-07,Nevada,6.842638808915548e-07,0.0,,
2020-03-07,New Hampshire,2.9770277652494528e-06,0.0,,
2020-03-07,New Jersey,4.5035687967984127e-07,0.0,,
2020-03-07,New York,4.536545261749231e-06,0.0,,
2020-03-07,North Carolina,1.969352154037999e-07,0.0,,
2020-03-07,Oklahoma,2.552233370094001e-07,0.0,,
2020-03-07,Oregon,1.469888237047896e-06,0.0,,
2020-03-07,Pennsylvania,3.1271545606304847e-07,0.0,,
2020-03-07,Rhode Island,2.839266295732299e-06,0.0,,
2020-03-07,South Carolina,4.0355735811175514e-07,0.0,,
2020-03-07,Tennessee,1.5035131840815843e-07,0.0,,
2020-03-07,Texas,6.813651473479027e-07,0.0,,
2020-03-07,Utah,9.851084440212127e-07,0.0,,
2020-03-07,Vermont,1.6000588821668637e-06,0.0,,
2020-03-07,Virginia,1.1885272887054014e-07,0.0,,
2020-03-07,Washington,1.5080193728394195e-05,2.1934827241300647e-06,,
2020-03-07,Wisconsin,1.7305846572594393e-07,0.0,,
2020-03-08,Arizona,7.197677741253562e-07,0.0,,
2020-03-08,California,2.8608824391883678e-06,2.5543593207038996e-08,,
2020-03-08,Colorado,1.4463561858213342e-06,0.0,,
2020-03-08,Connecticut,2.7921230857204124e-07,0.0,,
2020-03-08,District of Columbia,1.4609246484284834e-06,0.0,,
2020-03-08,Florida,6.311249768729107e-07,9.709615028814011e-08,,
2020-03-08,Georgia,1.068222101631816e-06,0.0,,
2020-03-08,Hawaii,1.4064410782058594e-06,0.0,,
2020-03-08,Illinois,5.459580889813413e-07,0.0,,
2020-03-08,Indiana,3.0132162678725156e-07,0.0,,
2020-03-08,Iowa,9.577018220915634e-07,0.0,,
2020-03-08,Kansas,3.4378721496602005e-07,0.0,,
2020-03-08,Kentucky,9.008595100585468e-07,0.0,,
2020-03-08,Maryland,8.328565229739308e-07,0.0,,
2020-03-08,Massachusetts,4.099444920516887e-06,0.0,,
2020-03-08,Minnesota,3.618365229825895e-07,0.0,,
2020-03-08,Missouri,1.642019408012595e-07,0.0,,
2020-03-08,Nebraska,8.4000084000084e-06,0.0,,
2020-03-08,Nevada,1.3685277617831096e-06,0.0,,
2020-03-08,New Hampshire,2.9770277652494528e-06,0.0,,
2020-03-08,New Jersey,6.755353195197619e-07,0.0,,
2020-03-08,New York,5.403076379162006e-06,0.0,,
2020-03-08,North Carolina,1.969352154037999e-07,0.0,,
2020-03-08,Oklahoma,2.552233370094001e-07,0.0,,
2020-03-08,Oregon,3.1847578469371083e-06,0.0,,
2020-03-08,Pennsylvania,4.6907318409457267e-07,0.0,,
2020-03-08,Rhode Island,2.839266295732299e-06,0.0,,
2020-03-08,South Carolina,1.2106720743352654e-06,0.0,,
2020-03-08,Tennessee,4.510539552244753e-07,0.0,,
2020-03-08,Texas,8.248104415264085e-07,0.0,,
2020-03-08,Utah,9.851084440212127e-07,0.0,,
2020-03-08,Vermont,1.6000588821668637e-06,0.0,,
2020-03-08,Virginia,2.3770545774108028e-07,0.0,,
2020-03-08,Washington,1.9330066506396195e-05,2.6047607349044517e-06,,
2020-03-08,Wisconsin,1.7305846572594393e-07,0.0,,
2020-03-09,Arizona,8.637213289504275e-07,0.0,,
2020-03-09,California,4.393498031610707e-06,5.108718641407799e-08,,
2020-03-09,Colorado,2.1695342787320014e-06,0.0,,
2020-03-09,Connecticut,5.584246171440825e-07,0.0,,
2020-03-09,District of Columbia,5.8436985937139335e-06,0.0,,
2020-03-09,Florida,6.796730520169808e-07,9.709615028814011e-08,,
2020-03-09,Georgia,1.6508887025218975e-06,0.0,,
2020-03-09,Hawaii,1.4064410782058594e-06,0.0,,
2020-03-09,Illinois,8.57934139827822e-07,0.0,,
2020-03-09,Indiana,6.026432535745031e-07,0.0,,
2020-03-09,Iowa,2.553871525577502e-06,0.0,,
2020-03-09,Kansas,3.4378721496602005e-07,0.0,,
2020-03-09,Kentucky,1.1260743875731837e-06,0.0,,
2020-03-09,Louisiana,2.1442588755163376e-07,0.0,,
2020-03-09,Maryland,9.99427827568717e-07,0.0,,
2020-03-09,Massachusetts,6.002758633614014e-06,0.0,,
2020-03-09,Minnesota,3.618365229825895e-07,0.0,,
2020-03-09,Missouri,1.642019408012595e-07,0.0,,
2020-03-09,Nebraska,8.4000084000084e-06,0.0,,
2020-03-09,Nevada,1.3685277617831096e-06,0.0,,
2020-03-09,New Hampshire,2.9770277652494528e-06,0.0,,
2020-03-09,New Jersey,1.2384814191195635e-06,0.0,,
2020-03-09,New York,7.238083451330235e-06,0.0,,
2020-03-09,North Carolina,6.892732539132997e-07,0.0,,
2020-03-09,Ohio,2.5769036080859455e-07,0.0,,
2020-03-09,Oklahoma,2.552233370094001e-07,0.0,,
2020-03-09,Oregon,3.1847578469371083e-06,0.0,,
2020-03-09,Pennsylvania,7.817886401576211e-07,0.0,,
2020-03-09,Rhode Island,2.839266295732299e-06,0.0,,
2020-03-09,South Carolina,1.4124507533911429e-06,0.0,,
2020-03-09,Tennessee,6.014052736326337e-07,0.0,,
2020-03-09,Texas,8.60671765071035e-07,0.0,,
2020-03-09,Utah,9.851084440212127e-07,0.0,,
2020-03-09,Vermont,1.6000588821668637e-06,0.0,,
2020-03-09,Virginia,5.942636443527007e-07,0.0,,
2020-03-09,Washington,2.4539587976205098e-05,3.016038745678839e-06,,
2020-03-09,Wisconsin,3.4611693145188786e-07,0.0,,
2020-03-10,Arizona,8.637213289504275e-07,0.0,,
2020-03-10,California,4.57230318405998e-06,7.663077962111699e-08,,
2020-03-10,Colorado,3.073506894870335e-06,0.0,,
2020-03-10,Connecticut,5.584246171440825e-07,0.0,,
2020-03-10,District of Columbia,5.8436985937139335e-06,0.0,,
2020-03-10,Florida,1.1166057283136113e-06,9.709615028814011e-08,,
